[2026-07-10 09:53:11Z] POST /devices/api | status=302 | durationMs=4 | user=anonymous
[2026-07-10 09:53:11Z] PUT /devices/api/2147483647 | status=302 | durationMs=4 | user=anonymous
[2026-07-10 09:53:11Z] DELETE /devices/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] POST /laboratories/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] PUT /laboratories/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] DELETE /laboratories/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] POST /technicians/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] PUT /technicians/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] DELETE /technicians/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] POST /calibrations/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] PUT /calibrations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] DELETE /calibrations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] POST /devicelocations/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] GET /devices/api | status=200 | durationMs=60 | user=anonymous
[2026-07-10 09:53:11Z] PUT /devicelocations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] DELETE /devicelocations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:53:11Z] GET /devices/api | status=200 | durationMs=3 | user=anonymous
[2026-07-10 09:53:11Z] GET /devices/api/6 | status=200 | durationMs=10 | user=anonymous
[2026-07-10 09:53:11Z] GET /laboratories/api | status=200 | durationMs=11 | user=anonymous
[2026-07-10 09:53:11Z] GET /laboratories/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 09:53:11Z] GET /laboratories/api/2 | status=200 | durationMs=7 | user=anonymous
[2026-07-10 09:53:11Z] GET /technicians/api | status=200 | durationMs=8 | user=anonymous
[2026-07-10 09:53:11Z] GET /technicians/api | status=200 | durationMs=1 | user=anonymous
[2026-07-10 09:53:11Z] GET /technicians/api/1 | status=200 | durationMs=6 | user=anonymous
[2026-07-10 09:53:11Z] GET /calibrations/api | status=200 | durationMs=20 | user=anonymous
[2026-07-10 09:53:11Z] GET /calibrations/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 09:53:11Z] GET /calibrations/api/3 | status=200 | durationMs=8 | user=anonymous
[2026-07-10 09:53:11Z] GET /devicelocations/api | status=200 | durationMs=10 | user=anonymous
[2026-07-10 09:53:11Z] GET /devicelocations/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 09:53:11Z] GET /devicelocations/api/1 | status=200 | durationMs=7 | user=anonymous
[2026-07-10 09:53:11Z] GET /lookup/devices?term=a | status=200 | durationMs=19 | user=anonymous
[2026-07-10 09:53:11Z] GET /lookup/technicians?term=a | status=200 | durationMs=7 | user=anonymous
[2026-07-10 09:53:11Z] GET /lookup/laboratories?term=a | status=200 | durationMs=7 | user=anonymous
[2026-07-10 09:54:50Z] POST /devices/api | status=302 | durationMs=6 | user=anonymous
[2026-07-10 09:54:50Z] PUT /devices/api/2147483647 | status=302 | durationMs=1 | user=anonymous
[2026-07-10 09:54:50Z] DELETE /devices/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:54:50Z] POST /laboratories/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:54:50Z] PUT /laboratories/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:54:50Z] DELETE /laboratories/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:54:50Z] POST /technicians/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:54:50Z] PUT /technicians/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:54:50Z] DELETE /technicians/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:54:50Z] POST /calibrations/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 09:54:50Z] PUT /calibrations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
